C1,C2,C3,C4,Tempo
204,196,0,0,0
151,143,53,53,1
141,133,63,63,2
132,124,72,72,3
125,117,79,79,4
114,106,90,90,5
102,94,102,102,6
96,88,108,108,7
93,85,111,111,8
90,82,114,114,9
83,75,121,121,10
79,71,125,125,11
75,67,129,129,12
71,63,133,133,13
71,63,133,133,14
69,61,135,135,15
65,57,139,139,16
62,54,142,142,17
59,51,145,145,18
58,50,146,146,19
58,50,146,146,20
53,45,151,151,21
52,44,152,152,22
52,44,152,152,23
50,42,154,154,24
48,40,156,156,25
47,39,157,157,26
47,39,157,157,27
45,37,159,159,28
43,35,161,161,29
41,33,163,163,30
40,32,164,164,31
38,30,166,166,32
37,29,167,167,33
37,29,167,167,34
37,29,167,167,35
37,29,167,167,36
36,28,168,168,37
36,28,168,168,38
36,28,168,168,39
35,27,169,169,40
35,27,169,169,41
33,25,171,171,42
32,24,172,172,43
31,23,173,173,44
31,23,173,173,45
31,23,173,173,46
31,23,173,173,47
30,22,174,174,48
30,22,174,174,49
30,22,174,174,50
30,22,174,174,51
30,22,174,174,52
30,22,174,174,53
30,22,174,174,54
30,22,174,174,55
29,21,175,175,56
29,21,175,175,57
29,21,175,175,58
29,21,175,175,59
29,21,175,175,60
28,20,176,176,61
28,20,176,176,62
28,20,176,176,63
28,20,176,176,64
28,20,176,176,65
28,20,176,176,66
27,19,177,177,67
27,19,177,177,68
27,19,177,177,69
27,19,177,177,70
27,19,177,177,71
27,19,177,177,72
27,19,177,177,73
27,19,177,177,74
27,19,177,177,75
27,19,177,177,76
27,19,177,177,77
27,19,177,177,78
26,18,178,178,79
26,18,178,178,80
25,17,179,179,81
25,17,179,179,82
25,17,179,179,83
25,17,179,179,84
25,17,179,179,85
25,17,179,179,86
25,17,179,179,87
25,17,179,179,88
25,17,179,179,89
25,17,179,179,90
25,17,179,179,91
25,17,179,179,92
25,17,179,179,93
25,17,179,179,94
24,16,180,180,95
24,16,180,180,96
24,16,180,180,97
24,16,180,180,98
24,16,180,180,99
24,16,180,180,100
24,16,180,180,101
24,16,180,180,102
24,16,180,180,103
24,16,180,180,104
24,16,180,180,105
24,16,180,180,106
24,16,180,180,107
24,16,180,180,108
24,16,180,180,109
24,16,180,180,110
24,16,180,180,111
24,16,180,180,112
24,16,180,180,113
24,16,180,180,114
23,15,181,181,115
23,15,181,181,116
23,15,181,181,117
23,15,181,181,118
23,15,181,181,119
23,15,181,181,120
23,15,181,181,121
23,15,181,181,122
23,15,181,181,123
23,15,181,181,124
23,15,181,181,125
23,15,181,181,126
23,15,181,181,127
23,15,181,181,128
23,15,181,181,129
23,15,181,181,130
23,15,181,181,131
23,15,181,181,132
23,15,181,181,133
23,15,181,181,134
23,15,181,181,135
23,15,181,181,136
23,15,181,181,137
23,15,181,181,138
22,14,182,182,139
22,14,182,182,140
22,14,182,182,141
21,13,183,183,142
21,13,183,183,143
21,13,183,183,144
21,13,183,183,145
21,13,183,183,146
21,13,183,183,147
21,13,183,183,148
21,13,183,183,149
21,13,183,183,150
21,13,183,183,151
21,13,183,183,152
20,12,184,184,153
20,12,184,184,154
20,12,184,184,155
20,12,184,184,156
20,12,184,184,157
20,12,184,184,158
20,12,184,184,159
20,12,184,184,160
20,12,184,184,161
20,12,184,184,162
20,12,184,184,163
20,12,184,184,164
20,12,184,184,165
20,12,184,184,166
20,12,184,184,167
20,12,184,184,168
20,12,184,184,169
20,12,184,184,170
20,12,184,184,171
20,12,184,184,172
20,12,184,184,173
20,12,184,184,174
20,12,184,184,175
20,12,184,184,176
20,12,184,184,177
20,12,184,184,178
20,12,184,184,179
20,12,184,184,180
20,12,184,184,181
20,12,184,184,182
20,12,184,184,183
20,12,184,184,184
20,12,184,184,185
20,12,184,184,186
20,12,184,184,187
20,12,184,184,188
20,12,184,184,189
20,12,184,184,190
20,12,184,184,191
20,12,184,184,192
20,12,184,184,193
20,12,184,184,194
20,12,184,184,195
20,12,184,184,196
20,12,184,184,197
20,12,184,184,198
20,12,184,184,199
20,12,184,184,200
19,11,185,185,201
19,11,185,185,202
