C1,C2,C3,C4,Tempo
203,197,0,0,0
145,139,58,58,1
133,127,70,70,2
116,110,87,87,3
108,102,95,95,4
99,93,104,104,5
94,88,109,109,6
88,82,115,115,7
83,77,120,120,8
81,75,122,122,9
76,70,127,127,10
72,66,131,131,11
71,65,132,132,12
66,60,137,137,13
64,58,139,139,14
63,57,140,140,15
61,55,142,142,16
60,54,143,143,17
60,54,143,143,18
55,49,148,148,19
55,49,148,148,20
54,48,149,149,21
53,47,150,150,22
53,47,150,150,23
52,46,151,151,24
51,45,152,152,25
49,43,154,154,26
49,43,154,154,27
49,43,154,154,28
49,43,154,154,29
47,41,156,156,30
47,41,156,156,31
47,41,156,156,32
45,39,158,158,33
45,39,158,158,34
44,38,159,159,35
44,38,159,159,36
43,37,160,160,37
42,36,161,161,38
39,33,164,164,39
39,33,164,164,40
38,32,165,165,41
37,31,166,166,42
36,30,167,167,43
35,29,168,168,44
35,29,168,168,45
35,29,168,168,46
35,29,168,168,47
35,29,168,168,48
35,29,168,168,49
35,29,168,168,50
35,29,168,168,51
34,28,169,169,52
33,27,170,170,53
32,26,171,171,54
32,26,171,171,55
32,26,171,171,56
32,26,171,171,57
32,26,171,171,58
32,26,171,171,59
30,24,173,173,60
30,24,173,173,61
30,24,173,173,62
30,24,173,173,63
29,23,174,174,64
29,23,174,174,65
28,22,175,175,66
28,22,175,175,67
28,22,175,175,68
27,21,176,176,69
27,21,176,176,70
27,21,176,176,71
27,21,176,176,72
26,20,177,177,73
26,20,177,177,74
26,20,177,177,75
26,20,177,177,76
26,20,177,177,77
25,19,178,178,78
25,19,178,178,79
24,18,179,179,80
24,18,179,179,81
22,16,181,181,82
22,16,181,181,83
22,16,181,181,84
22,16,181,181,85
22,16,181,181,86
22,16,181,181,87
22,16,181,181,88
22,16,181,181,89
21,15,182,182,90
21,15,182,182,91
21,15,182,182,92
21,15,182,182,93
21,15,182,182,94
21,15,182,182,95
21,15,182,182,96
21,15,182,182,97
21,15,182,182,98
21,15,182,182,99
21,15,182,182,100
21,15,182,182,101
21,15,182,182,102
21,15,182,182,103
21,15,182,182,104
21,15,182,182,105
21,15,182,182,106
21,15,182,182,107
20,14,183,183,108
20,14,183,183,109
20,14,183,183,110
20,14,183,183,111
20,14,183,183,112
20,14,183,183,113
20,14,183,183,114
19,13,184,184,115
19,13,184,184,116
19,13,184,184,117
19,13,184,184,118
18,12,185,185,119
18,12,185,185,120
18,12,185,185,121
18,12,185,185,122
18,12,185,185,123
18,12,185,185,124
18,12,185,185,125
18,12,185,185,126
18,12,185,185,127
18,12,185,185,128
18,12,185,185,129
18,12,185,185,130
18,12,185,185,131
18,12,185,185,132
17,11,186,186,133
17,11,186,186,134
17,11,186,186,135
17,11,186,186,136
16,10,187,187,137
16,10,187,187,138
16,10,187,187,139
16,10,187,187,140
16,10,187,187,141
16,10,187,187,142
16,10,187,187,143
16,10,187,187,144
15,9,188,188,145
15,9,188,188,146
15,9,188,188,147
15,9,188,188,148
15,9,188,188,149
15,9,188,188,150
15,9,188,188,151
15,9,188,188,152
15,9,188,188,153
15,9,188,188,154
15,9,188,188,155
15,9,188,188,156
15,9,188,188,157
15,9,188,188,158
15,9,188,188,159
15,9,188,188,160
15,9,188,188,161
15,9,188,188,162
15,9,188,188,163
15,9,188,188,164
15,9,188,188,165
15,9,188,188,166
15,9,188,188,167
15,9,188,188,168
15,9,188,188,169
15,9,188,188,170
15,9,188,188,171
15,9,188,188,172
15,9,188,188,173
15,9,188,188,174
15,9,188,188,175
15,9,188,188,176
15,9,188,188,177
15,9,188,188,178
15,9,188,188,179
15,9,188,188,180
15,9,188,188,181
15,9,188,188,182
15,9,188,188,183
15,9,188,188,184
15,9,188,188,185
15,9,188,188,186
15,9,188,188,187
15,9,188,188,188
15,9,188,188,189
15,9,188,188,190
15,9,188,188,191
15,9,188,188,192
15,9,188,188,193
15,9,188,188,194
15,9,188,188,195
15,9,188,188,196
15,9,188,188,197
15,9,188,188,198
15,9,188,188,199
15,9,188,188,200
15,9,188,188,201
15,9,188,188,202
15,9,188,188,203
15,9,188,188,204
15,9,188,188,205
15,9,188,188,206
15,9,188,188,207
15,9,188,188,208
